Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,Sum
0.2,-0.095,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.2,-0.1,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.2,-0.105,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.2,-0.11,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.2,-0.115,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.2,-0.12,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.2,-0.125,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.13,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.135,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.14,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.145,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.15,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.155,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.16,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.165,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.17,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.175,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.18,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.2,-0.185,0.0,0.0,0.0,0.0,-2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.71
0.2,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,0.0,-1.03,1.58,-1.22,1.11,0.42,-0.22,-0.26,-0.95,-2.56,-0.69,4.01,-0.68,2.31,-1.26,-1.89,0.0,0.0,0.0,-1.33
0.195,-0.005,-1.03,1.58,-1.22,1.11,0.42,-0.22,-0.26,-0.95,-2.54,-0.69,4.01,-0.68,2.31,-1.26,-1.89,0.0,0.0,0.0,-1.31
0.195,-0.01,-1.03,1.38,-1.22,0.68,0.42,-0.22,-0.26,-0.95,-2.65,-0.69,4.01,-0.68,2.31,-1.26,-1.81,0.0,0.0,0.0,-1.97
0.195,-0.015,-0.44,1.35,-1.22,0.68,0.42,-0.41,-0.26,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-1.23,-1.81,0.0,0.0,0.0,-1.54
0.195,-0.02,-0.44,1.35,-1.22,0.68,0.42,-0.41,-0.26,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-1.29
0.195,-0.025,-0.44,1.35,-1.57,0.68,0.42,-1.21,-0.69,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-2.87
0.195,-0.03,-0.44,1.35,-1.57,0.68,0.42,-1.49,-0.69,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-3.15
0.195,-0.035,-0.44,0.8,-1.57,0.68,0.42,-1.22,-0.69,-0.7,-0.84,-0.69,3.79,-0.68,2.12,-0.98,-1.51,0.0,0.0,0.0,-1.51
0.195,-0.04,0.0,0.8,-0.74,0.68,0.42,-1.22,-0.53,-0.7,-0.84,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,0.55
0.195,-0.045,0.0,0.8,-0.74,0.68,-0.41,-1.22,-0.53,-0.7,-0.84,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.28
0.195,-0.05,0.0,0.8,-0.74,0.21,-0.41,-1.22,-0.53,-0.81,-0.17,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.19
0.195,-0.055,0.0,0.8,-0.74,0.21,-0.41,-1.22,1.01,-1.53,0.0,-1.48,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.82
0.195,-0.06,0.0,0.8,-0.74,-0.08,-0.41,-1.22,1.01,0.25,0.0,-1.48,3.79,-0.68,2.12,-0.98,0.0,0.0,0.0,0.0,2.38
0.195,-0.065,0.0,0.8,-0.74,-0.08,0.32,-1.8,1.01,0.0,0.0,-1.48,3.79,-0.83,2.12,-0.98,0.0,0.0,0.0,0.0,2.13
0.195,-0.07,0.0,-0.46,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,-0.83,2.16,-0.98,0.0,0.0,0.0,0.0,1.01
0.195,-0.075,0.0,0.0,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,0.0,2.16,-0.98,0.0,0.0,0.0,0.0,2.3
0.195,-0.08,0.0,0.0,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,0.0,2.16,0.07,0.0,0.0,0.0,0.0,3.35
0.195,-0.085,0.0,0.0,0.0,-0.08,0.32,-1.8,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.07,0.0,0.0,0.0,0.0,2.56
0.195,-0.09,0.0,0.0,0.0,-0.08,0.32,-1.8,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,2.49
0.195,-0.095,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.195,-0.1,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.195,-0.105,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.195,-0.11,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.195,-0.115,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.195,-0.12,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.195,-0.125,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.13,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.135,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.14,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.145,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.15,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.155,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.16,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.165,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.17,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.175,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.18,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.195,-0.185,0.0,0.0,0.0,0.0,-2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.71
0.195,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0,-1.03,1.58,-1.22,1.11,0.42,-0.22,-0.26,-0.95,-2.56,-0.69,4.01,-0.68,2.31,-1.26,-1.89,0.0,0.0,0.0,-1.33
0.19,-0.005,-1.03,1.58,-1.22,1.11,0.42,-0.22,-0.26,-0.95,-2.54,-0.69,4.01,-0.68,2.31,-1.26,-1.89,0.0,0.0,0.0,-1.31
0.19,-0.01,-1.03,1.38,-1.22,0.68,0.42,-0.22,-0.26,-0.95,-2.65,-0.69,4.01,-0.68,2.31,-1.26,-1.81,0.0,0.0,0.0,-1.97
0.19,-0.015,-0.44,1.35,-1.22,0.68,0.42,-0.41,-0.26,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-1.23,-1.81,0.0,0.0,0.0,-1.54
0.19,-0.02,-0.44,1.35,-1.22,0.68,0.42,-0.41,-0.26,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-1.29
0.19,-0.025,-0.44,1.35,-1.57,0.68,0.42,-1.21,-0.69,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-2.87
0.19,-0.03,-0.44,1.35,-1.57,0.68,0.42,-1.49,-0.69,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-3.15
0.19,-0.035,-0.44,0.8,-1.57,0.68,0.42,-1.22,-0.69,-0.7,-0.84,-0.69,3.79,-0.68,2.12,-0.98,-1.51,0.0,0.0,0.0,-1.51
0.19,-0.04,0.0,0.8,-0.74,0.68,0.42,-1.22,-0.53,-0.7,-0.84,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,0.55
0.19,-0.045,0.0,0.8,-0.74,0.68,-0.41,-1.22,-0.53,-0.7,-0.84,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.28
0.19,-0.05,0.0,0.8,-0.74,0.21,-0.41,-1.22,-0.53,-0.81,-0.17,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.19
0.19,-0.055,0.0,0.8,-0.74,0.21,-0.41,-1.22,1.01,-1.53,0.0,-1.48,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.82
0.19,-0.06,0.0,0.8,-0.74,-0.08,-0.41,-1.22,1.01,0.25,0.0,-1.48,3.79,-0.68,2.12,-0.98,0.0,0.0,0.0,0.0,2.38
0.19,-0.065,0.0,0.8,-0.74,-0.08,0.32,-1.8,1.01,0.0,0.0,-1.48,3.79,-0.83,2.12,-0.98,0.0,0.0,0.0,0.0,2.13
0.19,-0.07,0.0,-0.46,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,-0.83,2.16,-0.98,0.0,0.0,0.0,0.0,1.01
0.19,-0.075,0.0,0.0,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,0.0,2.16,-0.98,0.0,0.0,0.0,0.0,2.3
0.19,-0.08,0.0,0.0,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,0.0,2.16,0.07,0.0,0.0,0.0,0.0,3.35
0.19,-0.085,0.0,0.0,0.0,-0.08,0.32,-1.8,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.07,0.0,0.0,0.0,0.0,2.56
0.19,-0.09,0.0,0.0,0.0,-0.08,0.32,-1.8,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,2.49
0.19,-0.095,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.19,-0.1,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.19,-0.105,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.19,-0.11,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.19,-0.115,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.19,-0.12,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.19,-0.125,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.13,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.135,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.14,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.145,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.15,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.155,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.16,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.165,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.17,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.175,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.18,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
0.19,-0.185,0.0,0.0,0.0,0.0,-2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.71
0.19,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.185,0.0,-1.03,1.58,-1.22,1.11,0.42,-0.22,-0.26,-0.95,-2.56,-0.69,4.01,-0.68,2.31,-1.26,-1.89,0.0,0.0,0.0,-1.33
0.185,-0.005,-1.03,1.58,-1.22,1.11,0.42,-0.22,-0.26,-0.95,-2.54,-0.69,4.01,-0.68,2.31,-1.26,-1.89,0.0,0.0,0.0,-1.31
0.185,-0.01,-1.03,1.38,-1.22,0.68,0.42,-0.22,-0.26,-0.95,-2.65,-0.69,4.01,-0.68,2.31,-1.26,-1.81,0.0,0.0,0.0,-1.97
0.185,-0.015,-0.44,1.35,-1.22,0.68,0.42,-0.41,-0.26,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-1.23,-1.81,0.0,0.0,0.0,-1.54
0.185,-0.02,-0.44,1.35,-1.22,0.68,0.42,-0.41,-0.26,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-1.29
0.185,-0.025,-0.44,1.35,-1.57,0.68,0.42,-1.21,-0.69,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-2.87
0.185,-0.03,-0.44,1.35,-1.57,0.68,0.42,-1.49,-0.69,-0.7,-2.65,-0.69,3.79,-0.68,2.31,-0.98,-1.81,0.0,0.0,0.0,-3.15
0.185,-0.035,-0.44,0.8,-1.57,0.68,0.42,-1.22,-0.69,-0.7,-0.84,-0.69,3.79,-0.68,2.12,-0.98,-1.51,0.0,0.0,0.0,-1.51
0.185,-0.04,0.0,0.8,-0.74,0.68,0.42,-1.22,-0.53,-0.7,-0.84,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,0.55
0.185,-0.045,0.0,0.8,-0.74,0.68,-0.41,-1.22,-0.53,-0.7,-0.84,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.28
0.185,-0.05,0.0,0.8,-0.74,0.21,-0.41,-1.22,-0.53,-0.81,-0.17,0.14,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.19
0.185,-0.055,0.0,0.8,-0.74,0.21,-0.41,-1.22,1.01,-1.53,0.0,-1.48,3.79,-0.68,2.12,-0.98,-1.71,0.0,0.0,0.0,-0.82
0.185,-0.06,0.0,0.8,-0.74,-0.08,-0.41,-1.22,1.01,0.25,0.0,-1.48,3.79,-0.68,2.12,-0.98,0.0,0.0,0.0,0.0,2.38
0.185,-0.065,0.0,0.8,-0.74,-0.08,0.32,-1.8,1.01,0.0,0.0,-1.48,3.79,-0.83,2.12,-0.98,0.0,0.0,0.0,0.0,2.13
0.185,-0.07,0.0,-0.46,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,-0.83,2.16,-0.98,0.0,0.0,0.0,0.0,1.01
0.185,-0.075,0.0,0.0,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,0.0,2.16,-0.98,0.0,0.0,0.0,0.0,2.3
0.185,-0.08,0.0,0.0,0.0,-0.08,0.32,-1.8,1.01,0.0,0.0,0.0,1.67,0.0,2.16,0.07,0.0,0.0,0.0,0.0,3.35
0.185,-0.085,0.0,0.0,0.0,-0.08,0.32,-1.8,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.07,0.0,0.0,0.0,0.0,2.56
0.185,-0.09,0.0,0.0,0.0,-0.08,0.32,-1.8,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,2.49
0.185,-0.095,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.185,-0.1,0.0,0.0,0.0,-0.08,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.29
0.185,-0.105,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.185,-0.11,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.185,-0.115,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.185,-0.12,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
0.185,-0.125,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
